Date;Area Name;Electric;Plug-In Hybrid*;Hybrid;All Hybrids;Gas;Diesel;Electric: Difference;Plug-In Hybrid*: Difference;Hybrid: Difference;All Hybrids: Difference;Gas: Difference;Diesel: Difference;Year;Month
2023-01-31 00:00:00;Columbus County;20.0;14.0;315.0;329.0;42403.0;3132.0;0.0;-1.0;6.0;5.0;81.0;7.0;2023;01
2023-01-31 00:00:00;Duplin County;29.0;27.0;358.0;385.0;45150.0;4165.0;1.0;0.0;5.0;5.0;145.0;25.0;2023;01
2023-01-31 00:00:00;Harnett County;285.0;155.0;1562.0;1717.0;98259.0;6269.0;11.0;1.0;29.0;30.0;365.0;-12.0;2023;01
2023-01-31 00:00:00;Martin County;7.0;10.0;155.0;165.0;18838.0;1143.0;1.0;0.0;-2.0;-2.0;15.0;-2.0;2023;01
2023-01-31 00:00:00;Perquimans County;15.0;19.0;179.0;198.0;11685.0;999.0;0.0;1.0;-3.0;-2.0;46.0;-10.0;2023;01
2023-01-31 00:00:00;Rowan County;227.0;120.0;1478.0;1598.0;114504.0;10429.0;22.0;5.0;14.0;19.0;503.0;70.0;2023;01
2023-01-31 00:00:00;Swain County;20.0;13.0;181.0;194.0;13672.0;1437.0;1.0;0.0;-1.0;-1.0;-4.0;4.0;2023;01
2023-02-28 00:00:00;Ashe County;29.0;19.0;340.0;359.0;25772.0;2652.0;1.0;1.0;7.0;8.0;61.0;-7.0;2023;02
2023-02-28 00:00:00;Beaufort County;73.0;27.0;583.0;610.0;40235.0;3544.0;6.0;0.0;3.0;3.0;-37.0;-3.0;2023;02
2023-02-28 00:00:00;Davie County;104.0;53.0;712.0;765.0;40001.0;3416.0;1.0;2.0;-2.0;0.0;89.0;-5.0;2023;02
